Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
297	NCT04394117	Controlled evaLuation of Angiotensin Receptor Blockers for COVID-19 respIraTorY Disease	Recruiting	No Results Available	SARS-Cov-2|COVID-19	Drug: Angiotensin Receptor Blockers	Phase 4	Interventional	"Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia|Canterbury Hospital, Campsie, New South Wales, Australia|Concord Hospital, Concord, New South Wales, Australia|St George Hospital, Kogarah, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia"	https://ClinicalTrials.gov/show/NCT04394117
298	NCT04409262	A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Remdesivir|Drug: Tocilizumab|Drug: Placebo	Phase 3	Interventional	"Valleywise Health Medical Center, Phoenix, Arizona, United States|eStudySite - Chula Vista - PPDS, Chula Vista, California, United States|Hoag Hospital Irvine, Irvine, California, United States|Providence St. John's Health Center, Santa Monica, California, United States|Holy Cross Hospital Inc, Fort Lauderdale, Florida, United States|University of Miami Miller School of Medicine; Clinical Reseach Building, Miami, Florida, United States|St Luke's Health System; Rheumatology Research, Boise, Idaho, United States|Rush University Medical Center, Chicago, Illinois, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States|Boston Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Saint Elizabeth Regional Medical Center, Lincoln, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|St. Michael'S Medical Center, Newark, New Jersey, United States|Wyckoff Heights Medical Center, Staten Island, New York, United States|Novant Health Clinical Research, Charlotte, North Carolina, United States|Cone Health Medical Group, Greensboro, North Carolina, United States|OhioHealth Research Institute, Columbus, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States|The Providence Regional Medical Center Everett, Everett, Washington, United States|West Virginia University Hospital, Morgantown, West Virginia, United States|Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, MG, Brazil|Instituto de Pesquisa Clinica Evandro Chagas - IPEC FIOCRUZ, Rio de Janeiro, RJ, Brazil|Faculdade de Medicina do ABC - FMABC, Santo Andre, SP, Brazil|Instituto de Infectologia Emilio Ribas, Sao Paulo, SP, Brazil|Instituto do Coração - HCFMUSP, Sao Paulo, SP, Brazil"	https://ClinicalTrials.gov/show/NCT04409262
299	NCT04273529	The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia	Not yet recruiting	No Results Available	COVID-19 Thalidomide	Drug: thalidomide|Drug: placebo	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04273529
300	NCT04273581	The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19	Not yet recruiting	No Results Available	COVID-19 Thalidomide	Drug: placebo|Drug: Thalidomide	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04273581
301	NCT04328441	Reducing Health Care Workers Absenteeism in Covid-19 Pandemic Through BCG Vaccine	Recruiting	No Results Available	COVID-19	Drug: BCG Vaccine|Drug: Placebo	Phase 3	Interventional	"Jeroen Bosch ziekenhuis, Den Bosch, Brabant, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Gelderland, Netherlands|Radboud UMC, Nijmegen, Gelderland, Netherlands|Sint Maartenskliniek, Nijmegen, Gelderland, Netherlands|Noordwest Ziekenhuisgroep locatie Alkmaar, Alkmaar, Noord Holland, Netherlands|Hagaziekenhuis, Den Haag, Zuid-Holland, Netherlands|Leiden University Medical Center, Leiden, Zuid-Holland, Netherlands|Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands"	https://ClinicalTrials.gov/show/NCT04328441
302	NCT04374032	Clinical Trial to Evaluate the Efficacy and Safety of an Immunomodulatory Therapy for the Treatment of Patients With Moderate to Severe COVID-19 Infection	Recruiting	No Results Available	COVID-19 Infection	Drug: metenkefalin + tridecactide|Drug: The standard of care	Phase 2|Phase 3	Interventional	"Clinical Center University of Sarajevo, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"	https://ClinicalTrials.gov/show/NCT04374032
303	NCT04425460	"A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19"	Not yet recruiting	No Results Available	COVID-19	Drug: Favipiravir|Other: Placebo	Phase 3	Interventional	"The First Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Shangcheng District, China|Peking University First Hospital, Beijing, Xicheng District, China|Department of Internal Medicine Pneumology and infectious diseases Neukölln Clinic, Berlin, Germany|Medical clinic and polyclinic IV Hospital of the University of Munich, München, Germany|Infectious Diseases Hospital Cluj-Napoca, Cluj-Napoca, Cluj, Romania|National Institute of Infectious Diseases ""Prof.Dr.Matei Bals"", Bucharest, Ilfov, Romania|""Dr.Victor Babes"" Infectious Diseases and Pneumoftiziology Clinical Hospital Timisoara, Timisoara, Timis, Romania|""Dr.Victor Babes"" Infectious Diseases and Pneumoftiziology Clinical Hospital Timisoara, Timişoara, Timis, Romania|Dr.Victor Babes Infectious Diseases and Pneumoftiziology Clinical Hospital Timisoara, Timişoara, Timis, Romania|Emergency County Hospital ""Pius Brinzeu""Timisoara, Timişoara, Timis, Romania"	https://ClinicalTrials.gov/show/NCT04425460
304	NCT04354870	COVID-19 PrEP HCW HCQ Study	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine (HCQ)	Phase 2	Interventional	"NYU Langone Health, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04354870
305	NCT04402892	COVID-19: SARS-CoV-2 Specific Memory B and T-CD4+ Cells	Not yet recruiting	No Results Available	COVID-19|SARS-CoV-2 Infection	"Other: 35 ml blood, 5 tubes LITHIUM HEPARINATE at each time (hospitalized Patients )|Other: 35 ml blood, 5 tubes LITHIUM HEPARINATE at each time (cured Patients)"	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04402892
306	NCT04345679	Anti COVID-19 Convalescent Plasma Therapy	Not yet recruiting	No Results Available	COVID 19	Biological: anti-SARS-CoV-2 convalescent plasma	Early Phase 1	Interventional		https://ClinicalTrials.gov/show/NCT04345679
307	NCT04428268	Chloroquine + Losartan Compared to Chloroquine Alone for the Treatment of COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Chloroquine Phosphate Tablets	Phase 2	Interventional	"Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico"	https://ClinicalTrials.gov/show/NCT04428268
308	NCT04414098	Ruxolitinib in the Treatment of Covid-19	Not yet recruiting	No Results Available	COVID-19	Drug: INC424 / Ruxolitinib	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04414098
309	NCT04449380	Clinical Study for the Treatment With Interferon-ß-1a (IFNß-1a) of COVID-19 Patients	Not yet recruiting	No Results Available	COVID-19 Virus Infection	Drug: Interferon-ß-1a|Combination Product: Standard of Care (SOC)	Phase 2	Interventional	"IRCCS Ospedale San Raffaele, Milano, Italy"	https://ClinicalTrials.gov/show/NCT04449380
310	NCT04376593	PET/CT Imaging in COVID-19 Patients	Enrolling by invitation	No Results Available	COVID-19|SARS-CoV-2 Infection	Drug: 18F-αvβ6-BP	Early Phase 1	Interventional	"University of California Davis, Sacramento, California, United States"	https://ClinicalTrials.gov/show/NCT04376593
311	NCT04342221	Hydroxychloroquine for COVID-19	Recruiting	No Results Available	"COVID-19, Hydroxychloroquine Sulfate"	Drug: Hydroxychloroquine Sulfate|Drug: Placebo	Phase 3	Interventional	"Zollernalb Klinikum Balingen, Balingen, Germany|Klinikum Darmstadt, Darmstadt, Germany|Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany|Johannes Wesling Klinikum Minden, Minden, Germany|Klinikum am Steinenberg, Reutlingen, Germany|Robert-Bosch-Krankenhaus, Stuttgart, Germany|Institute for Tropical Medicine, Tübingen, Germany"	https://ClinicalTrials.gov/show/NCT04342221
312	NCT04355533	Immunity Against SARS-CoV2 in Children and Their Parents / COVID-19	Not yet recruiting	No Results Available	COVID-19 Infection	Biological: serology test|Diagnostic Test: NG Biotech|Biological: nasopharyngeal swab|Biological: rectal swab|Biological: saliva sample	Not Applicable	Interventional	"Hôpital necker Enfants-Malades, ¨Paris, France"	https://ClinicalTrials.gov/show/NCT04355533
313	NCT04382729	Neuromuscular Electrical Stimulation in Patients With COVID19 Associated Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Other: Neuromuscular Electrical Stimulation|Other: Physical Therapy Exercise	Not Applicable	Interventional	"San Luigi Gonzaga Hospital, Orbassano, TO, Italy"	https://ClinicalTrials.gov/show/NCT04382729
314	NCT04315896	Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial)	Recruiting	No Results Available	COVID-19|Severe Acute Respiratory Syndrome	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Phase 3	Interventional	"Instituto Nacional de Enfermedades Respiratorias, ""Ismael Cosío Villegas"", Mexico, City, Mexico"	https://ClinicalTrials.gov/show/NCT04315896
315	NCT04411680	Study of Sargramostim in Patients With COVID-19	Not yet recruiting	No Results Available	COVID-19|Sars-CoV2	Drug: Sargramostim|Drug: Standard of care	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04411680
316	NCT04325061	Efficacy of Dexamethasone Treatment for Patients With ARDS Caused by COVID-19	Recruiting	No Results Available	Acute Respiratory Distress Syndrome Caused by COVID-19	Drug: Dexamethasone	Phase 4	Interventional	"ICU, Hospital Universitari Mutua Terrassa, Terrassa, Barcelona, Spain|Hospital Universitario Dr. Negrin, Las Palmas de Gran Canaria, Las Palmas, Spain|Department of Anesthesia, Hospital Universitario de Cruces, Barakaldo, Vizcaya, Spain|Intensive Care Unit, Hospital Universitario de Cruces, Barakaldo, Vizcaya, Spain|AVI, Hospital Clinic, Barcelona, Spain|Cardiac ICU, Hospital Clinic, Barcelona, Spain|Department of Anesthesia, Hospital Clinic, Barcelona, Spain|Hepatic ICU, Hospital Clínic, Barcelona, Spain|UVIR, Hospital Clinic, Barcelona, Spain|Intensive Care Unit, Hospital General de Ciudad Real, Ciudad Real, Spain|Department of Anesthesia, Hospital Universitario La Princesa, Madrid, Spain|Intensive Care Unit, Hospital Universitario La Princesa, Madrid, Spain|Intensive Care Unit, Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Department of Anesthesia, Hospital Universitario La Paz, Madrid, Spain|Intensive Care Unit, Hospital Universitario La Paz, Madrid, Spain|Department of Anesthesia, Hospital Universitario Virgen de Arrixaca, Murcia, Spain|Intensive Care Unit, Hospital Universitario Virgen de la Arrixaca, Murcia, Spain|Department of Anesthesia, Hospital Unversitario Montecelo, Pontevedra, Spain|Anesthesia, Hospital General Universitario de Valencia, Valencia, Spain|Department of Anesthesia, Hospital Clinico Universitario, Valencia, Spain|Intensive Care Unit, Hospital Clinico Universitario, Valencia, Spain|Department of Anesthesia, Hospital Clínico Universitario, Valladolid, Spain|Anesthesia, Hospital Universitario Río Hortega, Valladolid, Spain|Intensive Care Unit, Hospital Universitario Río Hortega, Valladolid, Spain"	https://ClinicalTrials.gov/show/NCT04325061
317	NCT04368000	Prone Positioning in Awake Patients With COVID-19 Requiring Hospitalization	Recruiting	No Results Available	Respiratory Failure|COVID-19	Behavioral: Intermittent prone positioning instructions|Behavioral: Usual care positioning with no instructions	Not Applicable	Interventional	"University of Utah Health Sciences Center, Salt Lake City, Utah, United States"	https://ClinicalTrials.gov/show/NCT04368000
318	NCT04413838	Efficiency and Security of NIVOLUMAB Therapy in Obese Individuals With COVID-19(COrona VIrus Disease) Infection	Not yet recruiting	No Results Available	"Obesity, COVID-19 Infection"	Drug: NIVOLUMAB|Other: Routine standard of care	Phase 2	Interventional	"Hôpital Lyon Sud Service Endocrinologie, Diabète et Nutrition, Pierre-Bénite, France"	https://ClinicalTrials.gov/show/NCT04413838
319	NCT04335201	Defibrotide in COVID-19 Pneumonia	Not yet recruiting	No Results Available	Patients With COVID-19 Pneumonia Will Allow to Detect an Absolute Reduction in the Rate of Respiratory-failure	Drug: Defibrotide Injection	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04335201
320	NCT04429724	Health Professional Exposure Assessment to Covid-19	Not yet recruiting	No Results Available	COVID-19	Diagnostic Test: Diagnostic test Covid-19	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04429724
321	NCT04445285	Phase 2 Trial Using rhDNase to Reduce Mortality in COVID-19 Patients With Respiratory Failure	Recruiting	No Results Available	Covid19	Drug: Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase)|Drug: 0.9%sodium chloride	Phase 2	Interventional	"University of South Alabama, Mobile, Alabama, United States"	https://ClinicalTrials.gov/show/NCT04445285
322	NCT04350476	COVID-19 Remote Monitoring	Not yet recruiting	No Results Available	COVID-19|Cardiac Arrhythmias	Diagnostic Test: VitalConnect Vital Sign Patch	Not Applicable	Interventional	"Icahn School of Medicine at Mount Sinai, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04350476
323	NCT04385017	Role of Inflammasomes in COVID-19 Disease	Recruiting	No Results Available	COVID-19 by SARS-CoV-2 Infection	Other: COVID-19 patients	Not Applicable	Interventional	"Ch Cannes, Réanimation, Cannes, Alpes Maritimes, France|CHU de nice, Nice, Alpes-Maritimes, France"	https://ClinicalTrials.gov/show/NCT04385017
324	NCT04280588	Fingolimod in COVID-19	Recruiting	No Results Available	Coronavirus Disease (COVID-19)	Drug: Fingolimod 0.5 mg	Phase 2	Interventional	"Wan-Jin Chen, Fuzhou, China"	https://ClinicalTrials.gov/show/NCT04280588
325	NCT04412538	Safety and Immunogenicity Study of an Inactivated SARS-CoV-2 Vaccine for Preventing Against COVID-19	Recruiting	No Results Available	COVID-19	Biological: Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule|Biological: Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule|Biological: High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule|Biological: Placebo on a 0- and 28-day schedule|Biological: Placebo on a 0- and 14-day schedule	Phase 1|Phase 2	Interventional	"West China Second University Hospital, Sichuan University / West China women's and children's Hospital, Chengdu, Sichuan, China"	https://ClinicalTrials.gov/show/NCT04412538
